country,pfizer,ptitle,astrazeneca,atitle,sputnik,rtitle,sinovac,ctitle,company
Morocco,51.12301887,"EU Unhappy With Astrazeneca, British Strain Feared to be More Deadly",55.3703704,Moroccan PM blames global market for vaccine delay,50.2175,"Live Updates: UK COVID-19 Death Toll Passes 100,000",51.0122414,"Africa To Bank On China's Leadership Amid Vaccine Greed, Chaos",AstraZeneca
Mozambique,48.98875,"UN urges Mozambique to investigate murder, beheadings",47.0640385,Regional body backs Mozambique's anti-terror fight,45.291875,Mozambique accused of abuses in its fight against extremists,43.2355,Mozambique defense forces kill 37 terrorists in northern region,Pfizer
Namibia,47.20690476,No need to fear Covid-19 vaccine,53.832,Covid UK: South African strain 'may make vaccine 50% less effective',50.47568182,'I am Not Like Him': Namibian Hitler Offended by Comparisons to Nazi Fuhrer,56.9386364,Botswana overturns ban on elephant hunting,Sinovac
Niger,51.7442,Niger warning over fake Pfizer meningitis vaccine,45.5255882,Death toll mounts in 'terrorist' attacks in Niger,40.31727273,"Two dead, 16 injured as terrorists open mortar fire at Nigeria's Maiduguri",38.5689474,10 civilians killed in suspected Boko Haram attack in Niger town,Pfizer
Nigeria,46.29973684,Did Pfizer Bribe Its Way Out of Criminal Charges in Nigeria?,50.9808108,"Covid-19: China seizes 3000 fake vaccines, arrests 80",47.48712121,Florida Suspects Fraud Behind Spike In Unemployment Claims,55.4841304,"Paul Flores, Person Of Interest In Disappearance Of Kristin Smart, Arrested On Weapons Charge",Pfizer
Rwanda,53.165625,"COVID-19: Africa fears vaccine shortage, urges equity",44.4779412,African nation worst hit by COVID-19 falling behind on vaccines,47.98269231,"Rwanda: The good, the bad, and the ugly",60.0008333,"World surpasses 20 million coronavirus cases, WHO warns against despair",Pfizer
Saint Helena,54.34021739,Tampa mayor frustrated by maskless fans after Super Bowl,59.1034615,"Firefighters cutting lines, working to keep Glass fire from following Tubbs route",55.695,Loving Can Hurt Sometimes: St. Helena's Giant Tortoise Love Search Fiasco,56.3992308,"Yuan eases on soft inflation data, Sino-U.S. tensions",Pfizer
Sao Tome and Principe,45.233,3 Turkish sailors left behind in pirate attack return home,51.3925,Sao Tome and Principe: Polisario’s Actions in Guerguerat Are Criminal,54.595,"Belarusian police beat, detain, shoot at journalists",71.075,Dolly puts his faith in double Bafana victory over Sao Tome and Principe,Sputnik
Senegal,48.592,"Rich Countries Block India, South Africa's Bid to Ban COVID-19 Vaccine Patents",44.0063889,Africa's COVID-19 case fatality rate surpasses global level,47.20636364,Senegal capital fights shoreline developers,54.6406818,Alarm after Senegal's 'best student' goes missing in France,Sinovac
Seychelles,47.18196078,Family Says Belongings Of Man Who Died From COVID At Santa Monica Hospital Stolen,49.9251389,AstraZeneca's COVID-19 Vaccinations Delayed in South Africa,50.63585714,Florida residents report problems accessing 1099-G form,48.5244118,,Sputnik
